data,totale_casi,tamponi
2021-01-21T18:00:00,40025,605038
2021-01-22T18:00:00,40343,614350
2021-01-23T18:00:00,40564,623624
2021-01-24T18:00:00,40889,636872
2021-01-25T18:00:00,40955,643557
2021-01-26T18:00:00,41107,207487
2021-01-27T18:00:00,41450,656886
2021-01-28T18:00:00,41718,663071
2021-01-29T18:00:00,42059,668154
2021-01-30T18:00:00,42444,675378
2021-01-31T18:00:00,42846,690016
2021-02-01T18:00:00,43007,700984
2021-02-02T18:00:00,43214,708915
2021-02-03T18:00:00,43663,714963
