data,totale_casi,tamponi
2021-01-21T18:00:00,30091,491645
2021-01-22T18:00:00,30459,494764
2021-01-23T18:00:00,30861,497688
2021-01-24T18:00:00,31072,499701
2021-01-25T18:00:00,31279,501278
2021-01-26T18:00:00,31511,503800
2021-01-27T18:00:00,31774,506929
2021-01-28T18:00:00,32076,509764
2021-01-29T18:00:00,32329,512266
"2021-01-30T18:00:00,32554,515406	"
2021-01-31T18:00:00,32747,518350
2021-02-01T18:00:00,32942,520326
2021-02-02T18:00:00,33108,522934
2021-02-03T18:00:00,33426,526244
