data,totale_casi,tamponi
2021-01-21T18:00:00,210697,2285816
2021-01-22T18:00:00,211803,2299650
2021-01-23T18:00:00,212953,2315313
2021-01-24T18:00:00,214022,2331532
2021-01-25T18:00:00,214776,2339916
2021-01-26T18:00:00,215752,2351357
2021-01-27T18:00:00,216930,2367290
2021-01-28T18:00:00,218243,2383402
2021-01-29T18:00:00,219418,2397782
2021-01-30T18:00:00,220784,2415127
"2021-01-31T18:00:00,222185,2432221	"
2021-02-01T18:00:00,223179,2440638
"2021-02-02T18:00:00,224098,2451711	"
2021-02-03T18:00:00,225637,2471140
