data,totale_casi,tamponi
2021-01-21T18:00:00,206578,2886578
2021-01-22T18:00:00,207925,2908287
2021-01-23T18:00:00,209235,2932963
2021-01-24T18:00:00,210442,2954788
2021-01-25T18:00:00,211606,2965224
2021-01-26T18:00:00,212590,2989865
2021-01-27T18:00:00,213501,3013616
2021-01-28T18:00:00,214754,3042797
2021-01-29T18:00:00,216065,3066158
2021-01-30T18:00:00,217377,3090178	
2021-01-31T18:00:00,218651,3103697
2021-02-01T18:00:00,219702,3113966
2021-02-02T18:00:00,220575,3142398
2021-02-03T18:00:00,221615,3166204
