data,totale_casi,tamponi
2021-01-21T18:00:00,62702,1069891
2021-01-22T18:00:00,63154,1077328
2021-01-23T18:00:00,63833,1087567
2021-01-24T18:00:00,64338,1093381
2021-01-25T18:00:00,64519,1095819
2021-01-26T18:00:00,64940,1104766
2021-01-27T18:00:00,65524,1115834
2021-01-28T18:00:00,66166,1124994
2021-01-29T18:00:00,66723,1134427
2021-01-30T18:00:00,67138,1142473
2021-01-31T18:00:00,67534,1146864
2021-02-01T18:00:00,67663,1148761
2021-02-02T18:00:00,67921,1154752
2021-02-03T18:00:00,68613,1166449
