data,totale_casi,tamponi
2021-01-21T18:00:00,194199,3069436
2021-01-22T18:00:00,195340,3096428
2021-01-23T18:00:00,196637,3127016
2021-01-24T18:00:00,197693,3151772
2021-01-25T18:00:00,198567,3172399
2021-01-26T18:00:00,199606,3201852
2021-01-27T18:00:00,200944,3230142
2021-01-28T18:00:00,202207,3261068	
2021-01-29T18:00:00,203367,3288432
2021-01-30T18:00:00,204505,3318818
2021-01-31T18:00:00,205448,3342016
2021-02-01T18:00:00,206165,3355115
2021-02-02T18:00:00,207007,3378181
2021-02-03T18:00:00,208171,3405739	
