data,totale_casi,tamponi
2021-01-21T18:00:00,66789,798715
2021-01-22T18:00:00,67102,805701
2021-01-23T18:00:00,67400,812181
2021-01-24T18:00:00,67693,816993
2021-01-25T18:00:00,67857,819985
2021-01-26T18:00:00,68128,827341
2021-01-27T18:00:00,68396,834479
2021-01-28T18:00:00,68768,841787
2021-01-29T18:00:00,69106,849066
2021-01-30T18:00:00,69361,855992
2021-01-31T18:00:00,69668,862130
2021-02-01T18:00:00,69817,864254
2021-02-02T18:00:00,70055,869782	
2021-02-03T18:00:00,70288,876302
