data,totale_casi,tamponi
2021-01-21T18:00:00,520395,5348951
2021-01-22T18:00:00,522364,5383007
2021-01-23T18:00:00,523899,5414816
2021-01-24T18:00:00,525274,5437998
2021-01-25T18:00:00,526758,5456775
2021-01-26T18:00:00,527988,5480815
2021-01-27T18:00:00,530281,5525624
2021-01-28T18:00:00,532884,5567301
"2021-01-29T18:00:00,534784,5601457	"
2021-01-30T18:00:00,536616,5640919
2021-01-31T18:00:00,538054,5665413
2021-02-01T18:00:00,539147,5682564
2021-02-02T18:00:00,540059,5705263
2021-02-03T18:00:00,541797,5743914
