data,totale_casi,tamponi
2021-01-21T18:00:00,51544,644321
2021-01-22T18:00:00,51981,653333
2021-01-23T18:00:00,52378,662555
2021-01-24T18:00:00,52903,671124
2021-01-25T18:00:00,53103,659081
2021-01-26T18:00:00,53394,663699
2021-01-27T18:00:00,53860,669151
2021-01-28T18:00:00,54289,674037
2021-01-29T18:00:00,54660,678817
2021-01-30T18:00:00,55125,685976
2021-01-31T18:00:00,55487,690203
2021-02-01T18:00:00,55676,691642
2021-02-02T18:00:00,56009,697600
2021-02-03T18:00:00,56417,702605
