data,totale_casi,tamponi
2021-01-21T18:00:00,215278,1886295
2021-01-22T18:00:00,216127,1907355
2021-01-23T18:00:00,217058,1931124
2021-01-24T18:00:00,217677,1943147
2021-01-25T18:00:00,218277,1953460
2021-01-26T18:00:00,219005,1974824
2021-01-27T18:00:00,219826,1995478
2021-01-28T18:00:00,220888,2017653
2021-01-29T18:00:00,221832,2040494
2021-01-30T18:00:00,222559,2063546	
2021-01-31T18:00:00,223097,2072804
2021-02-01T18:00:00,223611,2083854
2021-02-02T18:00:00,224376,2103721
2021-02-03T18:00:00,225195,2122420
