data,totale_casi,tamponi
2021-01-21T18:00:00,113115,1220229
2021-01-22T18:00:00,114133,1230116
2021-01-23T18:00:00,115156,1240449
2021-01-24T18:00:00,116110,1249072
2021-01-25T18:00:00,116511,1253021
2021-01-26T18:00:00,117506,1264811
2021-01-27T18:00:00,118739,1276613
2021-01-28T18:00:00,119898,1286025	
2021-01-29T18:00:00,120967,1294800
2021-01-30T18:00:00,121838,1304490
2021-01-31T18:00:00,122907,1312676
2021-02-01T18:00:00,123286,1316798
2021-02-02T18:00:00,124165,1325499
2021-02-03T18:00:00,125209,1336292
