data,totale_casi,tamponi
2021-01-21T18:00:00,36473,543913
2021-01-22T18:00:00,36685,547436
2021-01-23T18:00:00,36876,550085
2021-01-24T18:00:00,37051,552759
2021-01-25T18:00:00,37258,555999
2021-01-26T18:00:00,37396,560342
2021-01-27T18:00:00,37647,564745
2021-01-28T18:00:00,37884,569235
2021-01-29T18:00:00,38141,574708
2021-01-30T18:00:00,38370,578012	
2021-01-31T18:00:00,38537,580215
2021-02-01T18:00:00,38660,582290
2021-02-02T18:00:00,38731,585718
2021-02-03T18:00:00,38874,590068
