data,totale_casi,tamponi
2021-01-21T18:00:00,126364,1540168
2021-01-22T18:00:00,127719,1560423
2021-01-23T18:00:00,128877,1583888
2021-01-24T18:00:00,129752,1604479
2021-01-25T18:00:00,130637,1625287
2021-01-26T18:00:00,131607,1648866
2021-01-27T18:00:00,132603,1678136
2021-01-28T18:00:00,133597,1700897
2021-01-29T18:00:00,134541,1726358
2021-01-30T18:00:00,135387,1751609	
2021-01-31T18:00:00,136103,1784459
2021-02-01T18:00:00,136869,1817208	
2021-02-02T18:00:00,137853,1839463	
2021-02-03T18:00:00,138739,1863593
