data,totale_casi,tamponi
2021-01-21T18:00:00,129384,2093934
2021-01-22T18:00:00,129813,2108893
2021-01-23T18:00:00,130333,2123933
2021-01-24T18:00:00,130859,2136472
2021-01-25T18:00:00,131281,2143394
2021-01-26T18:00:00,131627,2157178
2021-01-27T18:00:00,132129,2174158
2021-01-28T18:00:00,132749,2190275
2021-01-29T18:00:00,133343,2207275
2021-01-30T18:00:00,133946,2223132	
2021-01-31T18:00:00,134456,2237018
2021-02-01T18:00:00,134829,2244425	
2021-02-02T18:00:00,135228,2259345
2021-02-03T18:00:00,135779,2276931
