data,regione,colore
2021-01-27T18:00:00,Puglia,red
2021-01-27T18:00:00,Lombardia,yellow
2021-01-27T18:00:00,Lazio,yellow
2021-01-27T18:00:00,Campania,orange
2021-01-27T18:00:00,Veneto,yellow
2021-01-27T18:00:00,ValleAosta,yellow
2021-01-27T18:00:00,EmiliaRomagna,orange
2021-01-27T18:00:00,Piemonte,yellow
2021-01-27T18:00:00,Toscana,yellow
2021-01-27T18:00:00,Calabria,red
2021-01-27T18:00:00,Liguria,yellow
2021-01-27T18:00:00,Marche,yellow
2021-01-27T18:00:00,Abruzzo,white
2021-01-27T18:00:00,FriuliVeneziaGiulia,orange
2021-01-27T18:00:00,TrentinoAltoAdige,red
2021-01-27T18:00:00,Umbria,yellow
2021-01-27T18:00:00,Basilicata,orange
2021-01-27T18:00:00,Molise,orange
2021-01-27T18:00:00,Sardegna,yellow
2021-01-27T18:00:00,Sicilia,yellow
2021-02-03T18:00:00,Puglia,red
2021-02-03T18:00:00,Lombardia,yellow
2021-02-03T18:00:00,Lazio,yellow
2021-02-03T18:00:00,Campania,orange
2021-02-03T18:00:00,Veneto,yellow
2021-02-03T18:00:00,ValleAosta,yellow
2021-02-03T18:00:00,EmiliaRomagna,orange
2021-02-03T18:00:00,Piemonte,yellow
2021-02-03T18:00:00,Toscana,yellow
2021-02-03T18:00:00,Calabria,orange
2021-02-03T18:00:00,Liguria,yellow
2021-02-03T18:00:00,Marche,orange
2021-02-03T18:00:00,Abruzzo,yellow
2021-02-03T18:00:00,FriuliVeneziaGiulia,orange
2021-02-03T18:00:00,TrentinoAltoAdige,yellow
2021-02-03T18:00:00,Umbria,yellow
2021-02-03T18:00:00,Basilicata,yellow
2021-02-03T18:00:00,Molise,orange
2021-02-03T18:00:00,Sardegna,yellow
2021-02-03T18:00:00,Sicilia,yellow
