data,totale_casi,tamponi
2021-01-21T18:00:00,61702,1059891
2021-01-22T18:00:00,62154,1067328
2021-01-23T18:00:00,62833,1077567
2021-01-24T18:00:00,63338,1083381
2021-01-25T18:00:00,64519,1085819
2021-01-26T18:00:00,64940,1094766
2021-01-27T18:00:00,65524,1105834
2021-01-28T18:00:00,66166,1114994
2021-01-29T18:00:00,66723,1124427
2021-01-30T18:00:00,67138,1132473
2021-01-31T18:00:00,67534,1146864
2021-02-01T18:00:00,67663,1148761
2021-02-02T18:00:00,67921,1154752
2021-02-03T18:00:00,68613,1166449
