data,totale_casi,tamponi
2021-01-21T18:00:00,33185,565609
2021-01-22T18:00:00,33490,572082
2021-01-23T18:00:00,33822,578498
2021-01-24T18:00:00,34069,585272
2021-01-25T18:00:00,34135,586990
2021-01-26T18:00:00,34410,594911
2021-01-27T18:00:00,34825,602935
2021-01-28T18:00:00,35194,609165	
2021-01-29T18:00:00,35529,616083
2021-01-30T18:00:00,35757,623158
2021-01-31T18:00:00,36051,629140
2021-02-01T18:00:00,36194,630341
2021-02-02T18:00:00,36477,638694
2021-02-03T18:00:00,36935,646717	
