data,totale_casi,tamponi
2021-01-21T18:00:00,302489,3787282
2021-01-22T18:00:00,303687,3830872
2021-01-23T18:00:00,304717,3880349
2021-01-24T18:00:00,305673,3902742
2021-01-25T18:00:00,306206,3918296
2021-01-26T18:00:00,306952,3959153
2021-01-27T18:00:00,309337,4002008
2021-01-28T18:00:00,309909,4034670	
2021-01-29T18:00:00,310894,4075490	
2021-01-30T18:00:00,311686,4132597
2021-01-31T18:00:00,312185,4153641
2021-02-01T18:00:00,312695,4165203
2021-02-02T18:00:00,313316,4204507	
2021-02-03T18:00:00,313945,4243554	
